isolate_ID	contigs	total_len	avg_len	N50_len	N90_len	GC	completeness	contamination	gtdb_classification
G90	 496 	3175808	6402.84	95064	14296	46.39	99.96	0.64	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus paracasei
H40	 2,122 	3549361	1672.65	49224	310	48.61	99.98	4.97	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus rhamnosus
H112	 740 	3109299	4201.76	302227	22897	47.25	99.93	2.81	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus rhamnosus
G88	 236 	3239239	13725.59	319867	80130	44.64	100	1.29	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum
R74	 41 	1976430	48205.61	143738	32437	34.26	99.96	0.07	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__
R78	 44 	1997466	45396.95	143727	29697	34.24	99.96	0.07	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__
J1032	 1,375 	2321141	1688.1	106626	275	40.78	100	0.53	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus
J225	 78 	1900150	24360.9	71493	14257	38.08	100	0.13	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus
J833	 505 	2567587	5084.33	56601	11616	49.36	100	1.57	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus delbrueckii_B
J196	 75 	2125670	28342.27	61177	16968	49.89	99.98	0.53	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus delbrueckii_B
J57	 116 	2184292	18830.1	41826	13039	49.91	99.97	0.63	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus delbrueckii_B
CH6	 106 	2091598	19732.06	56601	15732	50.57	99.93	4.31	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus delbrueckii_B
R35	 16 	2039836	127489.75	397515	136086	35.59	99.9	0.44	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus intestinalis
J255	 364 	1884934	5178.39	69381	18310	34.85	99.99	0.14	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii
K8	 455 	2542646	5588.23	81438	14439	45.96	99.99	0.17	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus;s__Levilactobacillus brevis
G129	 39 	2379060	61001.54	150210	35796	46.11	99.98	0.29	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus;s__Levilactobacillus brevis
J183	 896 	2561202	2858.48	31405	3096	41.57	99.99	1.08	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus agilis
K273	 18 	1926780	107043.34	259802	75232	40.95	99.97	0.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus animalis
J3-2	 76 	1828992	24065.68	43598	14768	41.13	99.88	0.18	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus animalis
J21	 682 	1995397	2925.8	43288	5356	41.9	98.55	1.4	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus animalis
R5	 117 	2237914	19127.47	48496	11491	39.93	99.99	0.23	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus
R73	 130 	2253101	17331.55	48496	10257	39.94	99.99	0.24	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus
R77	 255 	2342272	9185.38	45744	7668	39.94	99.99	1.48	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus
R55	 127 	2235879	17605.35	44849	9504	39.73	99.97	0.26	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus
J580	 2,669 	2765150	1036.02	41032	270	46.91	100	3.42	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus ruminis
J604	 1,766 	2551777	1444.95	48460	278	45.83	100	3.07	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus ruminis
J454	 158 	2088707	13219.67	61481	12902	43.53	99.99	1.31	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus ruminis
J600	 147 	2241519	15248.43	45141	12651	43.12	99.99	2.01	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus ruminis
J788	 171 	2094046	12245.88	57675	13612	43.35	99.99	0.29	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus ruminis
CH30	 98 	2060266	21023.12	64958	19539	43.3	99.98	0.42	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus ruminis
J452	 76 	2029926	26709.55	48767	18521	43.35	99.98	0.33	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus ruminis
J34	 730 	2156997	2954.79	48639	7135	43.97	99.97	1.45	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus ruminis
J194	 888 	2399896	2702.59	71351	4709	34.59	100	0.8	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus salivarius
H13	 1,713 	2422538	1414.21	93191	271	37.92	99.99	1.24	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus salivarius
J312	 376 	2201921	5856.17	60576	11390	46.63	99.98	0.83	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__
CH27	 433 	1297309	2996.09	4220	1446	47.84	70.42	5.05	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__
J260	 1,901 	2239677	1178.16	11727	275	42.9	99.96	3.37	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus coleohominis
J696	 100 	2185702	21857.02	162466	49972	46.8	99.99	2.65	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus mucosae
J515	 176 	2211517	12565.44	199527	29207	46.83	99.96	2.65	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus mucosae
J105	 1,106 	2440920	2206.98	37321	362	40.05	100	2.97	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri
K67	 377 	2088374	5539.45	71909	11945	38.81	100	0.15	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri
R75	 2,093 	2669020	1275.21	86316	276	42.77	100	3.23	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri
R76	 2,959 	2960387	1000.47	98864	273	44.19	100	3.45	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri
J1119	 473 	2025136	4281.47	100418	8650	46.5	99.73	0.6	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus sp012843675
J276	 1,883 	2387934	1268.15	27766	273	49.06	100	2.41	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus sp945873395
J9	 1,877 	2567334	1367.79	398622	272	43.12	100	1.9	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus acidilactici
J1391	 236 	2099794	8897.43	353217	61151	42.29	99.98	0.32	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus acidilactici
G93	 246 	1779968	7235.64	287343	130956	37.48	99.99	0.41	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus pentosaceus
K331	 987 	2352969	2383.96	103360	419	40.6	100	1.97	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
K305	 1,070 	2271113	2122.54	76770	294	41.08	99.99	2.26	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
K338	 44 	1968008	44727.45	103620	31240	39.93	99.98	0.01	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
K329	 1,037 	2241287	2161.32	173829	309	43.73	99.9	0.38	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
CH24	 150 	1792192	11947.95	42705	11273	40.63	100	0.8	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus alactolyticus
CH26	 95 	1801623	18964.45	40619	12189	40.22	100	0.3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus alactolyticus
J1121	 1,452 	2081119	1433.28	59297	274	42.59	100	2.55	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus alactolyticus
J1152	 85 	1849248	21755.86	41694	11416	40.13	100	0.24	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus alactolyticus
J500	 565 	1829840	3238.65	45904	6951	41.3	100	0.58	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus alactolyticus
CH22	 189 	1848777	9781.89	35296	4390	40.49	99.98	1.06	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus alactolyticus
J1123	 97 	1644849	16957.21	47958	11603	40.82	99.91	0.44	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus alactolyticus
CH29	 515 	1792216	3480.03	6334	1501	40.65	98.93	2.19	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus alactolyticus
H100	 770 	2081546	2703.31	111238	563	40.37	100	0.48	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus anginosus_C
H194	 910 	2123743	2333.78	77560	381	40.39	100	2.63	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus anginosus_C
CH4	 869 	2401620	2763.66	1687795	474	39.53	100	0.38	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gallolyticus
J520	 201 	2205061	10970.45	1688044	121684	37.96	100	0.3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gallolyticus
J524	 219 	2208848	10086.06	1688044	121768	38.02	100	0.32	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gallolyticus
J598	 953 	2421917	2541.36	1688044	378	39.71	100	1.26	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gallolyticus
J443	 1,016 	2463558	2424.76	1688044	384	39.24	96.25	0.86	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gallolyticus
H53	 924 	2443274	2644.24	658824	426	42.03	99.99	0.14	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gordonii
CH5	 1,945 	2682262	1379.06	21203	274	44.25	100	1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus hyointestinalis
J495	 1,400 	2526852	1804.89	22432	331	42.89	100	3.41	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus hyointestinalis
J526	 1,860 	2702832	1453.14	21203	280	43.08	100	3.63	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus hyointestinalis
J607	 234 	2288936	9781.78	25469	6187	42.2	99.99	0.36	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus hyointestinalis
J1182	 1,676 	2403561	1434.11	19528	274	43.9	99.98	1.6	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus hyointestinalis
J1197	 1,116 	2265435	2029.96	20595	613	42.67	99.97	1.79	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus hyointestinalis
CH41	 2,033 	2533966	1246.42	19215	273	44.96	99.96	2.77	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus hyointestinalis
H63	 3,324 	3105271	934.2	171225	273	45.44	100	1.62	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mutans
H70	 1,982 	2569392	1296.36	171225	274	41.65	100	0.24	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mutans
K297	 2,262 	2711673	1198.79	110092	272	43.48	100	3.92	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis_K
H1	 841 	2391753	2843.94	94021	24680	43.17	100	0.06	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis
H60	 1,461 	2578723	1765.04	85964	278	44.21	100	0.81	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis
H64	 36 	2172509	60347.47	137930	70383	41.86	100	0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis
K299	 1,063 	2432135	2287.99	106969	362	41.01	95.38	1.56	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius
H2	 239 	2396711	10028.08	1657097	108441	43.4	100	0.06	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis_H
H106	 61 	1830419	30006.87	124727	24755	39.01	99.97	0.19	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus
CH38	 417 	2198175	5271.4	11525	2450	40.43	96.85	3.15	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus varani
GY27	 18 	6713949	372997.16	4273344	176513	46.11	100	0.03	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__
XR9	 20 	6974823	348741.16	1872130	191983	45.77	100	0.33	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus amylolyticus
XR62	 34 	6633791	195111.5	346643	113324	47.02	99.99	0.04	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus illinoisensis
XR13	 64 	6938363	108411.92	296699	64016	51.44	100	0.04	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus lactis
J1364	 633 	6018803	9508.38	372725	60358	45.32	100	0.27	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus polymyxa
MR8	 49 	6611905	134936.84	255955	101133	45.68	100	0.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus polysaccharolyticus
GY7	 57 	6614643	116046.37	278820	66178	45.63	99.99	0.05	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus polysaccharolyticus
MR5	 38 	7374382	194062.69	687772	128880	49.22	100	0.27	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus sp001860525
GY23	 26 	7004479	269403.03	3816570	261519	45.85	99.99	0	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus sp900101225
CH35	 632 	2918714	4618.22	9845	1885	32.57	99.47	0.52	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus
CH2	 436 	2595080	5952.02	738327	89015	33.62	100	0.03	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus capitis
CH21	 87 	2527168	29047.91	268803	24795	32.87	99.99	0.53	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus capitis
H80	 506 	2571157	5081.34	862984	88130	33.5	99.99	1.48	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus capitis
H186	 137 	2816058	20555.17	145733	12278	31.86	100	4.65	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis
H86	 1,056 	2582698	2445.74	508265	390	34.24	100	0.81	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis
H52	 567 	2354892	4153.25	152908	37953	32.22	99.99	0.05	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis
H98	 913 	3016322	3303.75	269499	26572	34.41	99.99	0.25	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus
J1272	 61 	3619085	59329.26	328328	127469	54.08	100	0.53	d__Bacteria;p__Bacillota;c__Bacilli;o__Thermoactinomycetales;f__DSM-45169;g__Kroppenstedtia;s__Kroppenstedtia eburnea
J1068	 27 	3656059	135409.59	304175	95320	28	100	4.11	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__
J603	 3,963 	5001814	1262.13	3171475	277	35.34	100	4.66	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__
J941	 2,250 	4460540	1982.46	1313793	328	32.86	100	3.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__
J410	 926 	4264042	4604.8	175716	31147	29.29	100	3.7	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium tertium
J387	 715 	4431620	6198.07	129295	34513	28.82	99.99	1.03	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_F;s__Clostridium_F sporogenes
J458	 1,017 	3329712	3274.05	46491	6658	29.77	99.97	0.5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens
G66	 102 	3381738	33154.29	92053	19982	51.91	98.8	0.73	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Copromonas;s__Copromonas sp000435795
G32	52	1998580	38434.23	58810	18666	41.71	99.44	1.41	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium_B;s__
J28	 630 	4945120	7849.4	785117	195615	42.79	99.9	0.62	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lacrimispora;s__Lacrimispora aerotolerans
J369	 1,064 	3841356	3610.3	120617	18084	29.89	99.99	1.82	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium dentum
J373	 542 	3679561	6788.86	125747	25237	28.77	99.99	1.69	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium dentum
K10	 866 	2473324	2856.03	330409	988	45.21	100	0.83	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella_A;s__Veillonella_A magna
J354	 220 	5264365	23928.93	1057872	225888	43.45	99.99	1.78	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis
J885	 39 	5033721	129069.77	198231	61665	43.42	99.93	0.41	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis
CH13	 39 	4589795	117687.05	350784	98020	46.19	100	0.14	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
CH12	 131 	4370467	33362.34	74653	17623	46.66	99.98	0.24	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
CH8	 1,255 	3743523	2982.89	80858	5516	45.82	99.99	2.21	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri
CH11	 562 	4353766	7746.91	13791	3582	45.55	95.5	4.28	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
J383	 495 	3562747	7197.47	173744	47952	29.99	100	0.4	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A varium
K237	 37 	5548008	149946.16	559927	126987	59.19	100	2.79	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium pusense
K298	 450 	5344263	11876.14	201114	78682	68.08	99.99	0.4	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__Bordetella;s__Bordetella pertussis
CH39	 33 	4270214	129400.42	351578	75376	66.37	99.99	0.62	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Methyloversatilis;s__Methyloversatilis discipulorum_A
K343	 499 	2709826	5430.51	372969	157284	40.57	98.13	0.7	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cardiobacteriales;f__Wohlfahrtiimonadaceae;g__Ignatzschineria;s__
CH43	 173 	2617502	15130.07	372969	193157	40.25	97.94	0.67	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cardiobacteriales;f__Wohlfahrtiimonadaceae;g__Ignatzschineria;s__
J131	 289 	5011615	17341.23	430123	85171	51.92	100	0.13	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter portucalensis
J267	 877 	5069830	5780.88	637821	76509	53.46	100	0.45	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter_A;s__Citrobacter_A amalonaticus
J146	 198 	4683871	23655.91	315526	70415	49.7	100	0.43	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia albertii
CH25	 225 	5061061	22493.6	82342	25720	50.69	100	0.02	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
CH31	 87 	4646102	53403.47	131845	36098	50.9	100	0.07	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
CH9	 89 	5176448	58162.34	137637	42496	50.69	100	0.3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
