name	ko	family	lv2des
PN14RH|k141_2075473	K09882	Siphoviridae	Metabolism of cofactors and vitamins
PN9RQ|k141_1850217	K00789	Siphoviridae	Amino acid metabolism
PN9RQ|k141_1850217	K00558	Siphoviridae	Amino acid metabolism
PN7RG|k141_1370186	K00558	Siphoviridae	Amino acid metabolism
PN10RN|k141_621367	K06167	Unclassified	Metabolism of other amino acids
PN13RT|k141_1342196	K00558	Siphoviridae	Amino acid metabolism
PN2IF|k141_155310	K00287	Myoviridae	Metabolism of cofactors and vitamins
PN2IF|k141_155310	K03462	Myoviridae	Metabolism of cofactors and vitamins
PN6RO|k141_791191	K00390	Siphoviridae	Energy metabolism
PN15RP|k141_386783	K00390	Unclassified	Energy metabolism
PN3CF|k141_202526	K09882	Unclassified	Metabolism of cofactors and vitamins
PN3CF|k141_202526	K09883	Unclassified	Metabolism of cofactors and vitamins
PN5RC|k141_233193	K06167	Siphoviridae	Metabolism of other amino acids
PN1RB|k141_3549224	K00558	Siphoviridae	Amino acid metabolism
PN5RC|k141_274662	K00789	Siphoviridae	Amino acid metabolism
PN14RP|k141_757034	K00558	Unclassified	Amino acid metabolism
PN15RA|k141_565129	K00558	Flandersviridae	Amino acid metabolism
PN11RM|k141_2313776	K03183	Siphoviridae	Metabolism of cofactors and vitamins
PN11RM|k141_2313776	K00789	Siphoviridae	Amino acid metabolism
PN11RM|k141_2313776	K00390	Siphoviridae	Energy metabolism
PN3RF|k141_598475	K19286	Myoviridae	Metabolism of cofactors and vitamins
PN6RG|k141_93475	K00262	Siphoviridae	Energy metabolism
PN1RB|k141_3978645	K00919	Siphoviridae	Metabolism of terpenoids and polyketides
PN1CD|k141_312920	K01091	Siphoviridae	Carbohydrate metabolism
PN3RG|k141_2173755_1	K00558	Unclassified	Amino acid metabolism
PN3RG|k141_2173755_1	K01687	Unclassified	Amino acid metabolism
PN8RG|k141_1448731	K03273	Podoviridae_crAss-like	Glycan biosynthesis and metabolism
PN7RO|k141_1500505	K21029	Unclassified	"Folding, sorting and degradation"
PN3GB|k141_81353	K03273	Unclassified	Glycan biosynthesis and metabolism
PN10RB|k141_1557828	K01737	Unclassified	Metabolism of cofactors and vitamins
PN10RB|k141_1557828	K10026	Unclassified	Metabolism of cofactors and vitamins
PN10RB|k141_1557828	K01495	Unclassified	Metabolism of cofactors and vitamins
PN10RB|k141_1557828	K06920	Unclassified	Metabolism of cofactors and vitamins
PN2CB|k141_509643	K00558	Myoviridae	Amino acid metabolism
PN2CB|k141_509643	K00558	Myoviridae	Amino acid metabolism
PN1LI|k141_995855	K21029	Unclassified	"Folding, sorting and degradation"
PN8RG|k141_259163	K01939	Siphoviridae	Nucleotide metabolism
J1362|NODE_3_1	K00558	Siphoviridae	Amino acid metabolism
PN5RG|k141_1041951	K00640	Siphoviridae	Energy metabolism
PN5RG|k141_1041951	K00789	Siphoviridae	Amino acid metabolism
PN2RH|k141_1685027	K00390	Quimbyviridae	Energy metabolism
PN13RJ|k141_289594	K00390	Unclassified	Energy metabolism
PN8RF|k141_1268763	K01737	Myoviridae	Metabolism of cofactors and vitamins
PN8RF|k141_1268763	K10026	Myoviridae	Metabolism of cofactors and vitamins
PN8RF|k141_1268763	K22227	Myoviridae	Metabolism of cofactors and vitamins
PN8RF|k141_1268763	K01495	Myoviridae	Metabolism of cofactors and vitamins
PN9RB|k141_149287	K00789	Unclassified	Amino acid metabolism
PN11RI|k141_1564012	K00558	Siphoviridae	Amino acid metabolism
PN8RQ|k141_171915	K00390	Unclassified	Energy metabolism
PN7RT|k141_1880644	K00558	Unclassified	Amino acid metabolism
PN13RU|k141_774279	K00558	Siphoviridae	Amino acid metabolism
PN13RU|k141_774279	K01491	Siphoviridae	Energy metabolism
PN13RU|k141_774279	K00558	Siphoviridae	Amino acid metabolism
PN8RB|k141_112939	K23144	Unclassified	Carbohydrate metabolism
PN13RI|k141_1068576	K06167	Unclassified	Metabolism of other amino acids
J410|NODE_10_1	K18676	Myoviridae	Carbohydrate metabolism
PN12RH|k141_132337	K01495	Siphoviridae	Metabolism of cofactors and vitamins
PN12RH|k141_132337	K10026	Siphoviridae	Metabolism of cofactors and vitamins
PN12RH|k141_132337	K01737	Siphoviridae	Metabolism of cofactors and vitamins
PN12RH|k141_132337	K06920	Siphoviridae	Metabolism of cofactors and vitamins
PN1RL|k141_1737384_1	K00558	Siphoviridae	Amino acid metabolism
PN4RE|k141_619553	K00789	Siphoviridae	Amino acid metabolism
PN4RE|k141_619553	K00558	Siphoviridae	Amino acid metabolism
PN1GH|k141_209348_1	K04487	Siphoviridae	Metabolism of cofactors and vitamins
PN1CI|k141_713826	K00390	Unclassified	Energy metabolism
PN16RQ|k141_374326_1	K00558	Siphoviridae	Amino acid metabolism
PN16RQ|k141_374326_1	K00789	Siphoviridae	Amino acid metabolism
PN16RQ|k141_374326_1	K00558	Siphoviridae	Amino acid metabolism
PN7RB|k141_494803_1	K06167	Unclassified	Metabolism of other amino acids
PN7RB|k141_494803_1	K00558	Unclassified	Amino acid metabolism
PN8RH|k141_872825	K21029	Podoviridae_crAss-like	"Folding, sorting and degradation"
PN8RM|k141_1669145	K01771	Podoviridae_crAss-like	Carbohydrate metabolism
PN6RH|k141_1406361	K17398	Unclassified	Amino acid metabolism
PN1RE|k141_1784509	K06167	Unclassified	Metabolism of other amino acids
PN8RC|k141_338315_1	K06167	Siphoviridae	Metabolism of other amino acids
J852|NODE_8_1	K01442	Siphoviridae	Lipid metabolism
PN7RE|k141_1549625	K00390	Siphoviridae	Energy metabolism
PN7RE|k141_1549625	K17398	Siphoviridae	Amino acid metabolism
PN7RE|k141_1549625	K17398	Siphoviridae	Amino acid metabolism
PN7RE|k141_1549625	K00558	Siphoviridae	Amino acid metabolism
PN7RE|k141_1549625	K04487	Siphoviridae	Metabolism of cofactors and vitamins
PN15RF|k141_1027853	K00390	Unclassified	Energy metabolism
PN10RO|k141_235778	K01923	Unclassified	Nucleotide metabolism
PN10RO|k141_235778	K08289	Unclassified	Nucleotide metabolism
PN10RO|k141_235778	K00895	Unclassified	Carbohydrate metabolism
PN2CJ|k141_65877	K17398	Siphoviridae	Amino acid metabolism
PN2CJ|k141_65877	K00558	Siphoviridae	Amino acid metabolism
PN10RC|k141_91290	K00558	Siphoviridae	Amino acid metabolism
PN11RI|k141_611457	K00390	Myoviridae	Energy metabolism
PN11RI|k141_611457	K00558	Myoviridae	Amino acid metabolism
J410|NODE_1_1	K00558	Siphoviridae	Amino acid metabolism
J410|NODE_1_1	K06167	Siphoviridae	Metabolism of other amino acids
PN13RS|k141_1430206	K00558	Autographiviridae	Amino acid metabolism
PN14RJ|k141_545677	K00390	Unclassified	Energy metabolism
PN14RJ|k141_545677	K00558	Unclassified	Amino acid metabolism
PN2CG|k141_1091117	K22227	Siphoviridae	Metabolism of cofactors and vitamins
PN2LF|k141_1402636_1	K00558	Siphoviridae	Amino acid metabolism
PN14RB|k141_822359	K00558	Unclassified	Amino acid metabolism
PN13RA|k141_2254632	K00558	Flandersviridae	Amino acid metabolism
PN15RI|k141_1000967	K00558	Unclassified	Amino acid metabolism
PN8RD|k141_303444	K00390	Unclassified	Energy metabolism
PN10RQ|k141_505987	K00973	Siphoviridae	Glycan biosynthesis and metabolism
PN5CB|k141_118046	K01921	Siphoviridae	Metabolism of other amino acids
PN16RE|k141_1662191	K00558	Unclassified	Amino acid metabolism
PN16RE|k141_1662191	K00558	Unclassified	Amino acid metabolism
PN7RI|k141_566264	K17398	Siphoviridae	Amino acid metabolism
PN16RF|k141_620575_1	K06167	Siphoviridae	Metabolism of other amino acids
PN3CB|k141_947888_1	K08679	Unclassified	Carbohydrate metabolism
PN3CB|k141_947888_1	K00558	Unclassified	Amino acid metabolism
PN11RN|k141_2266271	K00558	Siphoviridae	Amino acid metabolism
PN14RK|k141_1426709	K17398	Siphoviridae	Amino acid metabolism
PN14RK|k141_1426709	K17398	Siphoviridae	Amino acid metabolism
PN14RK|k141_1426709	K04487	Siphoviridae	Metabolism of cofactors and vitamins
PN1LK|k141_495194	K00390	Unclassified	Energy metabolism
PN10RA|k141_1027324	K22227	Siphoviridae	Metabolism of cofactors and vitamins
PN16RB|k141_665806	K09882	Myoviridae	Metabolism of cofactors and vitamins
PN16RB|k141_665806	K01854	Myoviridae	Carbohydrate metabolism
PN16RE|k141_1662175	K21029	Unclassified	"Folding, sorting and degradation"
PN7RL|k141_1619952	K00390	Unclassified	Energy metabolism
PN16RE|k141_544531	K00558	Unclassified	Amino acid metabolism
PN8RK|k141_363422	K03148	Unclassified	Metabolism of cofactors and vitamins
PN5CA|k141_135657_1	K17398	Siphoviridae	Amino acid metabolism
PN5CA|k141_135657_1	K01491	Siphoviridae	Energy metabolism
PN8RC|k141_570659	K00390	Unclassified	Energy metabolism
PN1RL|k141_2037188	K00558	Unclassified	Amino acid metabolism
PN8RN|k141_175899	K17398	Siphoviridae	Amino acid metabolism
PN8RN|k141_175899	K08281	Siphoviridae	Metabolism of cofactors and vitamins
PN8RN|k141_175899	K01916	Siphoviridae	Metabolism of cofactors and vitamins
PN1JH|k141_70288_1	K00558	Siphoviridae	Amino acid metabolism
PN1JH|k141_70288_1	K00789	Siphoviridae	Amino acid metabolism
PN11RI|k141_2213543	K01854	Siphoviridae	Carbohydrate metabolism
PN15RO|k141_418520	K06920	Unclassified	Metabolism of cofactors and vitamins
PN5RC|k141_233084	K00558	Unclassified	Amino acid metabolism
PN13RS|k141_1768585	K09882	Siphoviridae	Metabolism of cofactors and vitamins
PN13RS|k141_1768585	K22227	Siphoviridae	Metabolism of cofactors and vitamins
PN13RR|k141_1323883	K00558	Unclassified	Amino acid metabolism
PN13RP|k141_1533945	K00558	Unclassified	Amino acid metabolism
PN5RC|k141_12061	K01630	Siphoviridae	Carbohydrate metabolism
PN13RI|k141_1462019	K00558	Siphoviridae	Amino acid metabolism
PN13RI|k141_1462019	K00789	Siphoviridae	Amino acid metabolism
PN4RD|k141_1428589	K00390	Siphoviridae	Energy metabolism
PN4RD|k141_1428589	K00789	Siphoviridae	Amino acid metabolism
PN16RR|k141_1158400	K00390	Unclassified	Energy metabolism
PN5LB|k141_501634_fragment_1	K00558	Siphoviridae	Amino acid metabolism
PN7RQ|k141_1687822	K00390	Unclassified	Energy metabolism
PN13RE|k141_324987	K06211	Unclassified	Metabolism of cofactors and vitamins
PN1CA|k141_361505	K13522	Unclassified	Metabolism of cofactors and vitamins
PN1RC|k141_1329926	K00390	Siphoviridae	Energy metabolism
PN3LB|k141_1202224_1	K21029	Siphoviridae	"Folding, sorting and degradation"
PN3LB|k141_1202224_1	K00558	Siphoviridae	Amino acid metabolism
PN3LB|k141_1202224_1	K00789	Siphoviridae	Amino acid metabolism
PN3LB|k141_1202224_1	K00558	Siphoviridae	Amino acid metabolism
PN3LB|k141_1202224_1	K00558	Siphoviridae	Amino acid metabolism
PN1RH|k141_1536849_1	K00390	Unclassified	Energy metabolism
PN1RH|k141_1536849_1	K00558	Unclassified	Amino acid metabolism
PN14RH|k141_2075467	K00390	Siphoviridae	Energy metabolism
PN13RQ|k141_925169_1	K00390	Myoviridae	Energy metabolism
PN1RE|k141_678223	K17398	Unclassified	Amino acid metabolism
PN1CG|k141_428427	K00558	Quimbyviridae	Amino acid metabolism
PN1RD|k141_1647678	K17398	Unclassified	Amino acid metabolism
PN1RG|k141_381374	K06920	Unclassified	Metabolism of cofactors and vitamins
PN2RC|k141_255479	K00600	Myoviridae	Carbohydrate metabolism
PN2RC|k141_255479	K00287	Myoviridae	Metabolism of cofactors and vitamins
PN6RA|k141_148661	K00558	Unclassified	Amino acid metabolism
PN1LI|k141_1113016	K01270	Podoviridae_crAss-like	Metabolism of other amino acids
PN1LI|k141_1113016	K01939	Podoviridae_crAss-like	Nucleotide metabolism
PN5CH|k141_106722	K01491	Siphoviridae	Energy metabolism
PN2CA|k141_297622	K00390	Unclassified	Energy metabolism
PN2CA|k141_297622	K00558	Unclassified	Amino acid metabolism
PN2CA|k141_297622	K00390	Unclassified	Energy metabolism
PN2CA|k141_297622	K00789	Unclassified	Amino acid metabolism
PN11RM|k141_540352	K04487	Siphoviridae	Metabolism of cofactors and vitamins
PN11RM|k141_540352	K00287	Siphoviridae	Metabolism of cofactors and vitamins
PN2CB|k141_1338302	K01209	Unclassified	Carbohydrate metabolism
PN8RC|k141_809804_1	K00549	Siphoviridae	Amino acid metabolism
PN8RC|k141_809804_1	K00558	Siphoviridae	Amino acid metabolism
PN12RA|k141_1663877	K09883	Unclassified	Metabolism of cofactors and vitamins
PN12RA|k141_1663877	K09882	Unclassified	Metabolism of cofactors and vitamins
PN13RG|k141_1014282	K01491	Siphoviridae	Energy metabolism
PN13RG|k141_1014282	K01916	Siphoviridae	Metabolism of cofactors and vitamins
PN13RG|k141_1014282	K03462	Siphoviridae	Metabolism of cofactors and vitamins
PN13RG|k141_1014282	K08281	Siphoviridae	Metabolism of cofactors and vitamins
PN3RB|k141_169564	K00558	Unclassified	Amino acid metabolism
PN12RA|k141_61631_1	K06920	Siphoviridae	Metabolism of cofactors and vitamins
PN7RF|k141_989066	K00390	Siphoviridae	Energy metabolism
PN7RF|k141_989066	K00390	Siphoviridae	Energy metabolism
PN2CC|k141_2019315	K00390	Siphoviridae	Energy metabolism
PN3LF|k141_1635400	K00390	Unclassified	Energy metabolism
PN3LB|k141_700544	K08281	Siphoviridae	Metabolism of cofactors and vitamins
PN3LB|k141_700544	K22227	Siphoviridae	Metabolism of cofactors and vitamins
PN3RE|k141_1443466	K10026	Unclassified	Metabolism of cofactors and vitamins
PN3RE|k141_1443466	K06920	Unclassified	Metabolism of cofactors and vitamins
PN11RO|k141_656909	K06920	Unclassified	Metabolism of cofactors and vitamins
PN11RO|k141_656909	K01737	Unclassified	Metabolism of cofactors and vitamins
PN11RO|k141_656909	K10026	Unclassified	Metabolism of cofactors and vitamins
PN11RO|k141_656909	K01495	Unclassified	Metabolism of cofactors and vitamins
PN9RJ|k141_1595492	K00558	Siphoviridae	Amino acid metabolism
PN6RC|k141_1328289	K01176	Siphoviridae	Carbohydrate metabolism
PN6RC|k141_1328289	K01190	Siphoviridae	Carbohydrate metabolism
PN10RR|k141_1986021	K00558	Unclassified	Amino acid metabolism
PN8RP|k141_87535_1	K01442	Siphoviridae	Lipid metabolism
PN8RP|k141_87535_1	K00789	Siphoviridae	Amino acid metabolism
PN13RI|k141_565106	K11717	Siphoviridae	Metabolism of other amino acids
PN6RO|k141_1673197	K06920	Siphoviridae	Metabolism of cofactors and vitamins
PN6RO|k141_1673197	K01737	Siphoviridae	Metabolism of cofactors and vitamins
PN6RO|k141_1673197	K10026	Siphoviridae	Metabolism of cofactors and vitamins
PN6RO|k141_1673197	K01495	Siphoviridae	Metabolism of cofactors and vitamins
PN5LB|k141_118422_1	K01184	Myoviridae	Carbohydrate metabolism
PN2RI|k141_1226602	K01190	Siphoviridae	Carbohydrate metabolism
PN1RE|k141_26118	K00390	Siphoviridae	Energy metabolism
PN5RH|k141_566550_1	K00789	Siphoviridae	Amino acid metabolism
PN5RH|k141_566550_1	K00558	Siphoviridae	Amino acid metabolism
PN16RF|k141_113949	K00390	Unclassified	Energy metabolism
PN16RF|k141_113949	K03275	Unclassified	Glycan biosynthesis and metabolism
PN9RJ|k141_1045020	K09882	Unclassified	Metabolism of cofactors and vitamins
PN9RJ|k141_1045020	K01854	Unclassified	Carbohydrate metabolism
PN3RA|k141_1538218	K00558	Quimbyviridae	Amino acid metabolism
PN13RE|k141_433844	K17398	Myoviridae	Amino acid metabolism
PN13RE|k141_433844	K00059	Myoviridae	Lipid metabolism
R99|NODE_131	K01779	Siphoviridae	Amino acid metabolism
R99|NODE_131	K00558	Siphoviridae	Amino acid metabolism
R99|NODE_131	K06167	Siphoviridae	Metabolism of other amino acids
PN16RM|k141_1202548	K21029	Unclassified	"Folding, sorting and degradation"
PN6RL|k141_1625672	K01190	Siphoviridae	Carbohydrate metabolism
PN9RL|k141_1155870	K09882	Siphoviridae	Metabolism of cofactors and vitamins
PN2CI|k141_1671099	K00973	Unclassified	Glycan biosynthesis and metabolism
PN11RC|k141_1648776	K00558	Flandersviridae	Amino acid metabolism
PN5RD|k141_491047	K01737	Unclassified	Metabolism of cofactors and vitamins
PN5RD|k141_491047	K10026	Unclassified	Metabolism of cofactors and vitamins
PN13RP|k141_16779	K01491	Siphoviridae	Energy metabolism
PN13RP|k141_16779	K01491	Siphoviridae	Energy metabolism
PN13RP|k141_16779	K01916	Siphoviridae	Metabolism of cofactors and vitamins
PN13RP|k141_16779	K03462	Siphoviridae	Metabolism of cofactors and vitamins
PN13RP|k141_16779	K08281	Siphoviridae	Metabolism of cofactors and vitamins
PN2RF|k141_981220	K00789	Siphoviridae	Amino acid metabolism
PN2RF|k141_981220	K00558	Siphoviridae	Amino acid metabolism
PN12RG|k141_87488	K02536	Siphoviridae	Glycan biosynthesis and metabolism
PN2RC|k141_653079	K09882	Unclassified	Metabolism of cofactors and vitamins
PN2RC|k141_653079	K00390	Unclassified	Energy metabolism
PN2RC|k141_653079	K01771	Unclassified	Carbohydrate metabolism
PN1RL|k141_2211539_1	K00789	Unclassified	Amino acid metabolism
PN13RI|k141_217306	K00558	Siphoviridae	Amino acid metabolism
PN3CF|k141_1646719	K00558	Siphoviridae	Amino acid metabolism
PN3CF|k141_1646719	K00789	Siphoviridae	Amino acid metabolism
PN3CF|k141_1646719	K00558	Siphoviridae	Amino acid metabolism
PN3CF|k141_1646719	K00558	Siphoviridae	Amino acid metabolism
PN8RI|k141_492557	K01491	Siphoviridae	Energy metabolism
PN1GG|k141_318706	K06167	Siphoviridae	Metabolism of other amino acids
PN1GG|k141_318706	K00558	Siphoviridae	Amino acid metabolism
PN13RA|k141_355897	K00390	Unclassified	Energy metabolism
PN4RG|k141_1363636	K01251	Myoviridae	Amino acid metabolism
PN4RG|k141_1363636	K07251	Myoviridae	Metabolism of cofactors and vitamins
PN4RG|k141_1363636	K00789	Myoviridae	Amino acid metabolism
J381|NODE_1_1	K00789	Siphoviridae	Amino acid metabolism
PN5CE|k141_511662	K00390	Myoviridae	Energy metabolism
PN5CE|k141_511662	K00558	Myoviridae	Amino acid metabolism
PN15RF|k141_76192	K10026	Unclassified	Metabolism of cofactors and vitamins
PN15RF|k141_76192	K01737	Unclassified	Metabolism of cofactors and vitamins
PN15RF|k141_76192	K06920	Unclassified	Metabolism of cofactors and vitamins
PN15RF|k141_76192	K01442	Unclassified	Lipid metabolism
PN1RL|k141_1817957	K06167	Quimbyviridae	Metabolism of other amino acids
PN16RE|k141_262067	K00558	Unclassified	Amino acid metabolism
PN3CD|k141_223730	K01939	Unclassified	Nucleotide metabolism
PN14RK|k141_578957	K06211	Siphoviridae	Metabolism of cofactors and vitamins
PN14RK|k141_578957	K08281	Siphoviridae	Metabolism of cofactors and vitamins
PN14RK|k141_578957	K01491	Siphoviridae	Energy metabolism
PN3LA|k141_118996	K04487	Siphoviridae	Metabolism of cofactors and vitamins
PN3LA|k141_118996	K00390	Siphoviridae	Energy metabolism
PN1LD|k141_1008642	K00558	Quimbyviridae	Amino acid metabolism
PN1LD|k141_1008642	K00558	Quimbyviridae	Amino acid metabolism
PN6RQ|k141_1738485	K00789	Siphoviridae	Amino acid metabolism
PN6RQ|k141_1738485	K00558	Siphoviridae	Amino acid metabolism
PN14RF|k141_626260_1	K00558	Siphoviridae	Amino acid metabolism
PN14RF|k141_626260_1	K00789	Siphoviridae	Amino acid metabolism
PN6RM|k141_1393581	K00558	Siphoviridae	Amino acid metabolism
PN6RM|k141_1393581	K00789	Siphoviridae	Amino acid metabolism
PN6RM|k141_1393581	K00558	Siphoviridae	Amino acid metabolism
PN3DG|k141_230299	K00262	Unclassified	Energy metabolism
PN13RD|k141_2183198	K09882	Siphoviridae	Metabolism of cofactors and vitamins
PN1CJ|k141_1340013_1	K00558	Siphoviridae	Amino acid metabolism
PN16RQ|k141_2066453_1	K00208	Unclassified	Lipid metabolism
PN6RM|k141_123997	K00789	Unclassified	Amino acid metabolism
PN16RF|k141_1333734	K21029	Siphoviridae	"Folding, sorting and degradation"
PN16RF|k141_1333734	K08281	Siphoviridae	Metabolism of cofactors and vitamins
PN16RF|k141_1333734	K03462	Siphoviridae	Metabolism of cofactors and vitamins
PN16RF|k141_1333734	K01916	Siphoviridae	Metabolism of cofactors and vitamins
PN16RF|k141_1333734	K00390	Siphoviridae	Energy metabolism
PN16RF|k141_1333734	K04487	Siphoviridae	Metabolism of cofactors and vitamins
PN1LE|k141_533333	K09882	Siphoviridae	Metabolism of cofactors and vitamins
PN1LE|k141_533333	K00390	Siphoviridae	Energy metabolism
PN4RC|k141_1365775	K00789	Siphoviridae	Amino acid metabolism
PN7RE|k141_1084570	K00558	Unclassified	Amino acid metabolism
PN7RE|k141_1084570	K00558	Unclassified	Amino acid metabolism
PN1RI|k141_389764	K01771	Podoviridae_crAss-like	Carbohydrate metabolism
PN1RI|k141_389764	K03273	Podoviridae_crAss-like	Glycan biosynthesis and metabolism
PN5JC|k141_30067	K03462	Siphoviridae	Metabolism of cofactors and vitamins
PN5JC|k141_30067	K01460	Siphoviridae	Metabolism of other amino acids
PN5JC|k141_30067	K00287	Siphoviridae	Metabolism of cofactors and vitamins
PN2RA|k141_1464517	K00558	Siphoviridae	Amino acid metabolism
PN2RA|k141_1464517	K00558	Siphoviridae	Amino acid metabolism
PN2RA|k141_1464517	K04487	Siphoviridae	Metabolism of cofactors and vitamins
PN2RA|k141_1464517	K00600	Siphoviridae	Carbohydrate metabolism
PN2RA|k141_1464517	K01939	Siphoviridae	Nucleotide metabolism
PN2RA|k141_1464517	K17398	Siphoviridae	Amino acid metabolism
PN3LA|k141_464229	K06131	Unclassified	Lipid metabolism
PN7RG|k141_321675	K00390	Unclassified	Energy metabolism
PN7RF|k141_685428	K00789	Siphoviridae	Amino acid metabolism
PN10RH|k141_749847	K21029	Podoviridae_crAss-like	"Folding, sorting and degradation"
PN15RN|k141_620635	K00059	Siphoviridae	Lipid metabolism
PN15RN|k141_620635	K01495	Siphoviridae	Metabolism of cofactors and vitamins
PN15RN|k141_620635	K10026	Siphoviridae	Metabolism of cofactors and vitamins
PN15RN|k141_620635	K01737	Siphoviridae	Metabolism of cofactors and vitamins
PN15RN|k141_620635	K06920	Siphoviridae	Metabolism of cofactors and vitamins
PN15RN|k141_620635	K09457	Siphoviridae	Metabolism of cofactors and vitamins
PN13RC|k141_709749	K00558	Unclassified	Amino acid metabolism
PN13RC|k141_709749	K00390	Unclassified	Energy metabolism
PN13RC|k141_709749	K06167	Unclassified	Metabolism of other amino acids
PN3LA|k141_1384068	K22227	Myoviridae	Metabolism of cofactors and vitamins
PN16RU|k141_960560	K06167	Unclassified	Metabolism of other amino acids
PN16RU|k141_960560	K00390	Unclassified	Energy metabolism
PN16RU|k141_960560	K09882	Unclassified	Metabolism of cofactors and vitamins
PN6RM|k141_1677319	K00390	Siphoviridae	Energy metabolism
PN9RI|k141_258171_fragment_2	K09882	Unclassified	Metabolism of cofactors and vitamins
PN6RA|k141_1625779	K00558	Myoviridae	Amino acid metabolism
PN6RA|k141_1625779	K06167	Myoviridae	Metabolism of other amino acids
PN6RO|k141_1196183_1	K00390	Siphoviridae	Energy metabolism
PN6RO|k141_1196183_1	K00789	Siphoviridae	Amino acid metabolism
PN13RO|k141_130234	K00558	Unclassified	Amino acid metabolism
PN8RL|k141_727472	K01491	Unclassified	Energy metabolism
PN16RC|k141_457306	K21029	Podoviridae_crAss-like	"Folding, sorting and degradation"
PN2LD|k141_1323653	K17398	Siphoviridae	Amino acid metabolism
PN2LD|k141_1323653	K00012	Siphoviridae	Carbohydrate metabolism
PN5RG|k141_1041932	K00390	Unclassified	Energy metabolism
PN16RE|k141_1662172	K00558	Quimbyviridae	Amino acid metabolism
PN15RP|k141_1634931	K00390	Unclassified	Energy metabolism
PN3CF|k141_593738	K08281	Siphoviridae	Metabolism of cofactors and vitamins
PN3CF|k141_593738	K13522	Siphoviridae	Metabolism of cofactors and vitamins
PN3CF|k141_593738	K00763	Siphoviridae	Metabolism of cofactors and vitamins
PN3CF|k141_593738	K01916	Siphoviridae	Metabolism of cofactors and vitamins
PN15RO|k141_1303532	K17398	Siphoviridae	Amino acid metabolism
PN1LD|k141_1754591	K00558	Unclassified	Amino acid metabolism
PN3LC|k141_758942	K00390	Myoviridae	Energy metabolism
PN3LC|k141_758942	K03786	Myoviridae	Amino acid metabolism
PN2RC|k141_1683474	K06167	Quimbyviridae	Metabolism of other amino acids
PN2RC|k141_1683474	K00558	Quimbyviridae	Amino acid metabolism
PN14RD|k141_833965	K04487	Siphoviridae	Metabolism of cofactors and vitamins
PN2CA|k141_1397255	K00789	Siphoviridae	Amino acid metabolism
PN8RJ|k141_1103309	K00764	Unclassified	Nucleotide metabolism
PN14RL|k141_1182408_1	K00558	Unclassified	Amino acid metabolism
PN15RB|k141_165751	K01491	Siphoviridae	Energy metabolism
PN15RB|k141_165751	K04487	Siphoviridae	Metabolism of cofactors and vitamins
PN15RB|k141_165751	K17398	Siphoviridae	Amino acid metabolism
PN15RO|k141_974444	K00558	Myoviridae	Amino acid metabolism
TY10|NODE_2_1	K05601	Siphoviridae	Energy metabolism
PN14RJ|k141_1322006	K00390	Unclassified	Energy metabolism
J1044|NODE_2_1	K02847	Siphoviridae	Glycan biosynthesis and metabolism
PN1RE|k141_918335_1	K01491	Myoviridae	Energy metabolism
PN1RH|k141_2968992	K06167	Unclassified	Metabolism of other amino acids
PN1RH|k141_2968992	K00558	Unclassified	Amino acid metabolism
PN1RD|k141_2107356	K00134	Myoviridae	Carbohydrate metabolism
PN1RD|k141_2107356	K06211	Myoviridae	Metabolism of cofactors and vitamins
PN5RG|k141_381558_1	K00558	Unclassified	Amino acid metabolism
PN13RB|k141_2227685	K00390	Unclassified	Energy metabolism
PN6RA|k141_575743	K00390	Siphoviridae	Energy metabolism
PN1CE|k141_688882	K00558	Unclassified	Amino acid metabolism
PN10RS|k141_1267273	K00789	Siphoviridae	Amino acid metabolism
PN6RL|k141_298133	K14170	Myoviridae	Amino acid metabolism
PN6RL|k141_298133	K01916	Myoviridae	Metabolism of cofactors and vitamins
PN6RL|k141_298133	K00969	Myoviridae	Metabolism of cofactors and vitamins
PN6RL|k141_298133	K00763	Myoviridae	Metabolism of cofactors and vitamins
PN6RL|k141_298133	K01854	Myoviridae	Carbohydrate metabolism
PN8RI|k141_679878	K00558	Siphoviridae	Amino acid metabolism
PN8RI|k141_679878	K04487	Siphoviridae	Metabolism of cofactors and vitamins
PN8RI|k141_679878	K17398	Siphoviridae	Amino acid metabolism
PN16RE|k141_1462563	K00558	Siphoviridae	Amino acid metabolism
PN16RE|k141_1462563	K00558	Siphoviridae	Amino acid metabolism
PN11RM|k141_1525891	K00390	Siphoviridae	Energy metabolism
PN6RL|k141_544514	K06167	Unclassified	Metabolism of other amino acids
PN14RC|k141_695096	K09882	Unclassified	Metabolism of cofactors and vitamins
PN14RC|k141_695096	K09883	Unclassified	Metabolism of cofactors and vitamins
PN16RJ|k141_2060264	K00390	Unclassified	Energy metabolism
PN5CC|k141_52501	K20170	Myoviridae	Metabolism of cofactors and vitamins
PN5CA|k141_65113_1	K00558	Siphoviridae	Amino acid metabolism
PN1CH|k141_890499	K00390	Unclassified	Energy metabolism
PN5RE|k141_1091067	K00558	Siphoviridae	Amino acid metabolism
PN1CK|k141_707662	K01939	Podoviridae_crAss-like	Nucleotide metabolism
PN1RE|k141_915842	K00558	Siphoviridae	Amino acid metabolism
PN16RG|k141_1273709	K09882	Unclassified	Metabolism of cofactors and vitamins
PN16RP|k141_333404	K00390	Unclassified	Energy metabolism
PN16RP|k141_333404	K00558	Unclassified	Amino acid metabolism
