lvA	lvB	lvC	n
Metabolism	Energy metabolism	Sulfur metabolism [PATH:ko00920]	100
Metabolism	Glycan biosynthesis and metabolism	Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	12
Metabolism	Glycan biosynthesis and metabolism	Exopolysaccharide biosynthesis [PATH:ko00543]	67
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate [PATH:ko00532]	13
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - heparan sulfate / heparin [PATH:ko00534]	17
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - keratan sulfate [PATH:ko00533]	5
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan degradation [PATH:ko00531]	14
Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - ganglio series [PATH:ko00604]	4
Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - globo and isoglobo series [PATH:ko00603]	11
Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - lacto and neolacto series [PATH:ko00601]	13
Metabolism	Glycan biosynthesis and metabolism	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis [PATH:ko00563]	26
Metabolism	Glycan biosynthesis and metabolism	Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]	14
Metabolism	Glycan biosynthesis and metabolism	Lipopolysaccharide biosynthesis [PATH:ko00540]	61
Metabolism	Glycan biosynthesis and metabolism	Mannose type O-glycan biosynthesis [PATH:ko00515]	12
Metabolism	Glycan biosynthesis and metabolism	Mucin type O-glycan biosynthesis [PATH:ko00512]	6
Metabolism	Glycan biosynthesis and metabolism	N-Glycan biosynthesis [PATH:ko00510]	39
Metabolism	Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	81
Metabolism	Glycan biosynthesis and metabolism	O-Antigen repeat unit biosynthesis [PATH:ko00542]	34
Metabolism	Glycan biosynthesis and metabolism	Other glycan degradation [PATH:ko00511]	19
Metabolism	Glycan biosynthesis and metabolism	Other types of O-glycan biosynthesis [PATH:ko00514]	23
Metabolism	Glycan biosynthesis and metabolism	Peptidoglycan biosynthesis [PATH:ko00550]	53
Metabolism	Glycan biosynthesis and metabolism	Teichoic acid biosynthesis [PATH:ko00552]	41
Metabolism	Glycan biosynthesis and metabolism	Various types of N-glycan biosynthesis [PATH:ko00513]	44
Metabolism	Lipid metabolism	"Cutin, suberine and wax biosynthesis [PATH:ko00073]"	13
Metabolism	Lipid metabolism	Arachidonic acid metabolism [PATH:ko00590]	30
Metabolism	Lipid metabolism	Biosynthesis of unsaturated fatty acids [PATH:ko01040]	31
Metabolism	Lipid metabolism	Ether lipid metabolism [PATH:ko00565]	29
Metabolism	Lipid metabolism	Fatty acid biosynthesis [PATH:ko00061]	40
Metabolism	Lipid metabolism	Fatty acid degradation [PATH:ko00071]	48
Metabolism	Lipid metabolism	Fatty acid elongation [PATH:ko00062]	22
Metabolism	Lipid metabolism	Glycerolipid metabolism [PATH:ko00561]	82
Metabolism	Lipid metabolism	Glycerophospholipid metabolism [PATH:ko00564]	113
Metabolism	Lipid metabolism	Linoleic acid metabolism [PATH:ko00591]	14
Metabolism	Lipid metabolism	Primary bile acid biosynthesis [PATH:ko00120]	11
Metabolism	Lipid metabolism	Secondary bile acid biosynthesis [PATH:ko00121]	10
Metabolism	Lipid metabolism	Sphingolipid metabolism [PATH:ko00600]	44
Metabolism	Lipid metabolism	Steroid biosynthesis [PATH:ko00100]	28
Metabolism	Lipid metabolism	Steroid hormone biosynthesis [PATH:ko00140]	22
Metabolism	Lipid metabolism	alpha-Linolenic acid metabolism [PATH:ko00592]	25
Metabolism	Metabolism of cofactors and vitamins	Biotin metabolism [PATH:ko00780]	23
Metabolism	Metabolism of cofactors and vitamins	Folate biosynthesis [PATH:ko00790]	78
Metabolism	Metabolism of cofactors and vitamins	Lipoic acid metabolism [PATH:ko00785]	29
Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism [PATH:ko00760]	82
Metabolism	Metabolism of cofactors and vitamins	One carbon pool by folate [PATH:ko00670]	36
Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis [PATH:ko00770]	44
Metabolism	Metabolism of cofactors and vitamins	Porphyrin metabolism [PATH:ko00860]	128
Metabolism	Metabolism of cofactors and vitamins	Retinol metabolism [PATH:ko00830]	21
Metabolism	Metabolism of cofactors and vitamins	Riboflavin metabolism [PATH:ko00740]	49
Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism [PATH:ko00730]	36
Metabolism	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	54
Metabolism	Metabolism of cofactors and vitamins	Vitamin B6 metabolism [PATH:ko00750]	24
Metabolism	Metabolism of other amino acids	Cyanoamino acid metabolism [PATH:ko00460]	26
Metabolism	Metabolism of other amino acids	D-Amino acid metabolism [PATH:ko00470]	52
Metabolism	Metabolism of other amino acids	Glutathione metabolism [PATH:ko00480]	50
Metabolism	Metabolism of other amino acids	Phosphonate and phosphinate metabolism [PATH:ko00440]	25
Metabolism	Metabolism of other amino acids	Selenocompound metabolism [PATH:ko00450]	29
Metabolism	Metabolism of other amino acids	Taurine and hypotaurine metabolism [PATH:ko00430]	28
Metabolism	Metabolism of other amino acids	beta-Alanine metabolism [PATH:ko00410]	46
Metabolism	Metabolism of terpenoids and polyketides	"Biosynthesis of 12-, 14- and 16-membered macrolides [PATH:ko00522]"	20
Metabolism	Metabolism of terpenoids and polyketides	"Pinene, camphor and geraniol degradation [PATH:ko00907]"	20
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of ansamycins [PATH:ko01051]	29
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of enediyne antibiotics [PATH:ko01059]	46
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053]	31
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of type II polyketide backbone [PATH:ko01056]	7
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of type II polyketide products [PATH:ko01057]	41
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of vancomycin group antibiotics [PATH:ko01055]	22
Metabolism	Metabolism of terpenoids and polyketides	Brassinosteroid biosynthesis [PATH:ko00905]	8
Metabolism	Metabolism of terpenoids and polyketides	Carotenoid biosynthesis [PATH:ko00906]	46
Metabolism	Metabolism of terpenoids and polyketides	Diterpenoid biosynthesis [PATH:ko00904]	18
Metabolism	Metabolism of terpenoids and polyketides	Insect hormone biosynthesis [PATH:ko00981]	14
Metabolism	Metabolism of terpenoids and polyketides	Limonene degradation [PATH:ko00903]	6
Metabolism	Metabolism of terpenoids and polyketides	Monoterpenoid biosynthesis [PATH:ko00902]	4
Metabolism	Metabolism of terpenoids and polyketides	Nonribosomal peptide structures [PATH:ko01054]	40
Metabolism	Metabolism of terpenoids and polyketides	Polyketide sugar unit biosynthesis [PATH:ko00523]	39
Metabolism	Metabolism of terpenoids and polyketides	Sesquiterpenoid and triterpenoid biosynthesis [PATH:ko00909]	18
Metabolism	Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis [PATH:ko00900]	56
Metabolism	Metabolism of terpenoids and polyketides	Tetracycline biosynthesis [PATH:ko00253]	14
Metabolism	Metabolism of terpenoids and polyketides	Type I polyketide structures [PATH:ko01052]	81
Metabolism	Metabolism of terpenoids and polyketides	Zeatin biosynthesis [PATH:ko00908]	7
Metabolism	Not included in regular maps	Global maps only	1
Metabolism	Nucleotide metabolism	Purine metabolism [PATH:ko00230]	201
Metabolism	Nucleotide metabolism	Pyrimidine metabolism [PATH:ko00240]	108
Metabolism	Xenobiotics biodegradation and metabolism	Aminobenzoate degradation [PATH:ko00627]	74
Metabolism	Xenobiotics biodegradation and metabolism	Atrazine degradation [PATH:ko00791]	13
Metabolism	Xenobiotics biodegradation and metabolism	Benzoate degradation [PATH:ko00362]	94
Metabolism	Xenobiotics biodegradation and metabolism	Bisphenol degradation [PATH:ko00363]	2
Metabolism	Xenobiotics biodegradation and metabolism	Caprolactam degradation [PATH:ko00930]	19
Metabolism	Xenobiotics biodegradation and metabolism	Chloroalkane and chloroalkene degradation [PATH:ko00625]	22
Metabolism	Xenobiotics biodegradation and metabolism	Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361]	25
Metabolism	Xenobiotics biodegradation and metabolism	Dioxin degradation [PATH:ko00621]	20
Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - cytochrome P450 [PATH:ko00982]	13
Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - other enzymes [PATH:ko00983]	30
Metabolism	Xenobiotics biodegradation and metabolism	Ethylbenzene degradation [PATH:ko00642]	10
Metabolism	Xenobiotics biodegradation and metabolism	Fluorobenzoate degradation [PATH:ko00364]	10
Metabolism	Xenobiotics biodegradation and metabolism	Furfural degradation [PATH:ko00365]	8
Metabolism	Xenobiotics biodegradation and metabolism	Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]	19
Metabolism	Xenobiotics biodegradation and metabolism	Naphthalene degradation [PATH:ko00626]	14
Metabolism	Xenobiotics biodegradation and metabolism	Nitrotoluene degradation [PATH:ko00633]	19
Metabolism	Xenobiotics biodegradation and metabolism	Polycyclic aromatic hydrocarbon degradation [PATH:ko00624]	34
Metabolism	Xenobiotics biodegradation and metabolism	Steroid degradation [PATH:ko00984]	15
Metabolism	Xenobiotics biodegradation and metabolism	Styrene degradation [PATH:ko00643]	21
Metabolism	Xenobiotics biodegradation and metabolism	Toluene degradation [PATH:ko00623]	33
Metabolism	Xenobiotics biodegradation and metabolism	Xylene degradation [PATH:ko00622]	28
Not Included in Pathway or Brite	Poorly characterized	Function unknown	348
Not Included in Pathway or Brite	Poorly characterized	General function prediction only	104
Not Included in Pathway or Brite	Unclassified: genetic information processing	Others	9
Not Included in Pathway or Brite	Unclassified: genetic information processing	Protein processing	33
Not Included in Pathway or Brite	Unclassified: genetic information processing	Replication and repair	57
Not Included in Pathway or Brite	Unclassified: genetic information processing	Transcription	37
Not Included in Pathway or Brite	Unclassified: genetic information processing	Translation	15
Not Included in Pathway or Brite	Unclassified: metabolism	Amino acid metabolism	21
Not Included in Pathway or Brite	Unclassified: metabolism	Carbohydrate metabolism	23
Not Included in Pathway or Brite	Unclassified: metabolism	Cofactor metabolism	22
Not Included in Pathway or Brite	Unclassified: metabolism	Energy metabolism	115
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	1096
Not Included in Pathway or Brite	Unclassified: metabolism	Glycan metabolism	26
Not Included in Pathway or Brite	Unclassified: metabolism	Lipid metabolism	15
Not Included in Pathway or Brite	Unclassified: metabolism	Nucleotide metabolism	2
Not Included in Pathway or Brite	Unclassified: metabolism	Others	10
Not Included in Pathway or Brite	Unclassified: metabolism	Secondary metabolism	27
Not Included in Pathway or Brite	Unclassified: signaling and cellular processes	Cell growth	127
Not Included in Pathway or Brite	Unclassified: signaling and cellular processes	Cell motility	22
Not Included in Pathway or Brite	Unclassified: signaling and cellular processes	Others	30
Not Included in Pathway or Brite	Unclassified: signaling and cellular processes	Signaling proteins	100
Not Included in Pathway or Brite	Unclassified: signaling and cellular processes	Structural proteins	55
Not Included in Pathway or Brite	Unclassified: signaling and cellular processes	Transport	33
Not Included in Pathway or Brite	Unclassified: signaling and cellular processes	Unclassified viral proteins	4
Organismal Systems	Aging	Longevity regulating pathway - multiple species [PATH:ko04213]	40
Organismal Systems	Aging	Longevity regulating pathway - worm [PATH:ko04212]	40
Organismal Systems	Aging	Longevity regulating pathway [PATH:ko04211]	49
Organismal Systems	Circulatory system	Adrenergic signaling in cardiomyocytes [PATH:ko04261]	57
Organismal Systems	Circulatory system	Cardiac muscle contraction [PATH:ko04260]	43
Organismal Systems	Circulatory system	Vascular smooth muscle contraction [PATH:ko04270]	53
Organismal Systems	Development and regeneration	Axon guidance [PATH:ko04360]	78
Organismal Systems	Development and regeneration	Axon regeneration [PATH:ko04361]	51
Organismal Systems	Development and regeneration	Dorso-ventral axis formation [PATH:ko04320]	20
Organismal Systems	Development and regeneration	Osteoclast differentiation [PATH:ko04380]	45
Organismal Systems	Digestive system	Bile secretion [PATH:ko04976]	36
Organismal Systems	Digestive system	Carbohydrate digestion and absorption [PATH:ko04973]	18
Organismal Systems	Digestive system	Cholesterol metabolism [PATH:ko04979]	31
Organismal Systems	Digestive system	Fat digestion and absorption [PATH:ko04975]	18
Organismal Systems	Digestive system	Gastric acid secretion [PATH:ko04971]	29
Organismal Systems	Digestive system	Mineral absorption [PATH:ko04978]	21
Organismal Systems	Digestive system	Pancreatic secretion [PATH:ko04972]	51
Organismal Systems	Digestive system	Protein digestion and absorption [PATH:ko04974]	45
Organismal Systems	Digestive system	Salivary secretion [PATH:ko04970]	38
Organismal Systems	Digestive system	Vitamin digestion and absorption [PATH:ko04977]	13
Organismal Systems	Endocrine system	"Growth hormone synthesis, secretion and action [PATH:ko04935]"	59
Organismal Systems	Endocrine system	"Parathyroid hormone synthesis, secretion and action [PATH:ko04928]"	52
Organismal Systems	Endocrine system	Adipocytokine signaling pathway [PATH:ko04920]	29
Organismal Systems	Endocrine system	Aldosterone synthesis and secretion [PATH:ko04925]	44
Organismal Systems	Endocrine system	Cortisol synthesis and secretion [PATH:ko04927]	30
Organismal Systems	Endocrine system	Estrogen signaling pathway [PATH:ko04915]	49
Organismal Systems	Endocrine system	Glucagon signaling pathway [PATH:ko04922]	47
Organismal Systems	Endocrine system	GnRH secretion [PATH:ko04929]	35
Organismal Systems	Endocrine system	GnRH signaling pathway [PATH:ko04912]	50
Organismal Systems	Endocrine system	Insulin secretion [PATH:ko04911]	40
Organismal Systems	Endocrine system	Insulin signaling pathway [PATH:ko04910]	64
Organismal Systems	Endocrine system	Melanogenesis [PATH:ko04916]	45
Organismal Systems	Endocrine system	Ovarian steroidogenesis [PATH:ko04913]	18
Organismal Systems	Endocrine system	Oxytocin signaling pathway [PATH:ko04921]	72
Organismal Systems	Endocrine system	PPAR signaling pathway [PATH:ko03320]	31
Organismal Systems	Endocrine system	Progesterone-mediated oocyte maturation [PATH:ko04914]	56
Organismal Systems	Endocrine system	Prolactin signaling pathway [PATH:ko04917]	29
Organismal Systems	Endocrine system	Regulation of lipolysis in adipocytes [PATH:ko04923]	27
Organismal Systems	Endocrine system	Relaxin signaling pathway [PATH:ko04926]	56
Organismal Systems	Endocrine system	Renin secretion [PATH:ko04924]	28
Organismal Systems	Endocrine system	Renin-angiotensin system [PATH:ko04614]	12
Organismal Systems	Endocrine system	Thyroid hormone signaling pathway [PATH:ko04919]	70
Organismal Systems	Endocrine system	Thyroid hormone synthesis [PATH:ko04918]	38
Organismal Systems	Environmental adaptation	Circadian entrainment [PATH:ko04713]	48
Organismal Systems	Environmental adaptation	Circadian rhythm - fly [PATH:ko04711]	11
Organismal Systems	Environmental adaptation	Circadian rhythm - plant [PATH:ko04712]	24
Organismal Systems	Environmental adaptation	Circadian rhythm [PATH:ko04710]	16
Organismal Systems	Environmental adaptation	Plant-pathogen interaction [PATH:ko04626]	53
Organismal Systems	Environmental adaptation	Thermogenesis [PATH:ko04714]	154
Organismal Systems	Excretory system	Aldosterone-regulated sodium reabsorption [PATH:ko04960]	15
Organismal Systems	Excretory system	Collecting duct acid secretion [PATH:ko04966]	13
Organismal Systems	Excretory system	Endocrine and other factor-regulated calcium reabsorption [PATH:ko04961]	24
Organismal Systems	Excretory system	Proximal tubule bicarbonate reclamation [PATH:ko04964]	10
Organismal Systems	Excretory system	Vasopressin-regulated water reabsorption [PATH:ko04962]	25
Organismal Systems	Immune system	Antigen processing and presentation [PATH:ko04612]	27
Organismal Systems	Immune system	B cell receptor signaling pathway [PATH:ko04662]	32
Organismal Systems	Immune system	C-type lectin receptor signaling pathway [PATH:ko04625]	42
Organismal Systems	Immune system	Chemokine signaling pathway [PATH:ko04062]	63
Organismal Systems	Immune system	Complement and coagulation cascades [PATH:ko04610]	35
Organismal Systems	Immune system	Cytosolic DNA-sensing pathway [PATH:ko04623]	30
Organismal Systems	Immune system	Fc epsilon RI signaling pathway [PATH:ko04664]	30
Organismal Systems	Immune system	Fc gamma R-mediated phagocytosis [PATH:ko04666]	48
Organismal Systems	Immune system	Hematopoietic cell lineage [PATH:ko04640]	20
Organismal Systems	Immune system	IL-17 signaling pathway [PATH:ko04657]	30
Organismal Systems	Immune system	Intestinal immune network for IgA production [PATH:ko04672]	6
Organismal Systems	Immune system	Leukocyte transendothelial migration [PATH:ko04670]	46
Organismal Systems	Immune system	NOD-like receptor signaling pathway [PATH:ko04621]	77
Organismal Systems	Immune system	Natural killer cell mediated cytotoxicity [PATH:ko04650]	36
Organismal Systems	Immune system	Neutrophil extracellular trap formation [PATH:ko04613]	59
Organismal Systems	Immune system	Platelet activation [PATH:ko04611]	54
Organismal Systems	Immune system	RIG-I-like receptor signaling pathway [PATH:ko04622]	25
Organismal Systems	Immune system	T cell receptor signaling pathway [PATH:ko04660]	51
Organismal Systems	Immune system	Th1 and Th2 cell differentiation [PATH:ko04658]	25
Organismal Systems	Immune system	Th17 cell differentiation [PATH:ko04659]	30
Organismal Systems	Immune system	Toll and Imd signaling pathway [PATH:ko04624]	36
Organismal Systems	Immune system	Toll-like receptor signaling pathway [PATH:ko04620]	36
Organismal Systems	Nervous system	Cholinergic synapse [PATH:ko04725]	48
Organismal Systems	Nervous system	Dopaminergic synapse [PATH:ko04728]	53
Organismal Systems	Nervous system	GABAergic synapse [PATH:ko04727]	41
Organismal Systems	Nervous system	Glutamatergic synapse [PATH:ko04724]	59
Organismal Systems	Nervous system	Long-term depression [PATH:ko04730]	32
Organismal Systems	Nervous system	Long-term potentiation [PATH:ko04720]	35
Organismal Systems	Nervous system	Neurotrophin signaling pathway [PATH:ko04722]	63
Organismal Systems	Nervous system	Retrograde endocannabinoid signaling [PATH:ko04723]	83
Organismal Systems	Nervous system	Serotonergic synapse [PATH:ko04726]	52
Organismal Systems	Nervous system	Synaptic vesicle cycle [PATH:ko04721]	46
Organismal Systems	Sensory system	Inflammatory mediator regulation of TRP channels [PATH:ko04750]	38
Organismal Systems	Sensory system	Olfactory transduction [PATH:ko04740]	18
Organismal Systems	Sensory system	Phototransduction - fly [PATH:ko04745]	16
Organismal Systems	Sensory system	Phototransduction [PATH:ko04744]	4
Organismal Systems	Sensory system	Taste transduction [PATH:ko04742]	20
